Time [ms];Mass flow rate [g/s]
0.3472;2.12883407932
0.3476;2.12911959307
0.348;2.12940603789
0.3484;2.12969340188
0.3488;2.12998167309
0.3492;2.13027083957
0.3496;2.1305608893
0.35;2.13085181024
0.3504;2.13114359031
0.3508;2.13143621742
0.3512;2.13172967941
0.3516;2.13202396412
0.352;2.13231905936
0.3524;2.13261495288
0.3528;2.13291159141
0.3532;2.13320576344
0.3536;2.13350069608
0.354;2.13379637698
0.3544;2.13409279377
0.3548;2.13438993407
0.3552;2.13468778544
0.3556;2.13498633545
0.356;2.13528557163
0.3564;2.13558548149
0.3568;2.13588605253
0.3572;2.13618727222
0.3576;2.136489128
0.358;2.13679160731
0.3584;2.13709469756
0.3588;2.13739838615
0.3592;2.13770266046
0.3596;2.13800750785
0.36;2.13831291567
0.3604;2.13861887126
0.3608;2.13892536192
0.3612;2.13923237498
0.3616;2.13953989773
0.362;2.13984791744
0.3624;2.1401564214
0.3628;2.14046539687
0.3632;2.1407748311
0.3636;2.14108471133
0.364;2.14139502481
0.3644;2.14170575876
0.3648;2.14201690042
0.3652;2.14232843701
0.3656;2.14263965551
0.366;2.14294890687
0.3664;2.14325851397
0.3668;2.14356846404
0.3672;2.14387874427
0.3676;2.14418934186
0.368;2.14450024402
0.3684;2.14481143796
0.3688;2.14512291088
0.3692;2.14543465
0.3696;2.14574664252
0.37;2.14605887566
0.3704;2.14637133665
0.3708;2.14668401271
0.3712;2.14699689108
0.3716;2.147309959
0.372;2.14762320371
0.3724;2.14793661248
0.3728;2.14825017257
0.3732;2.14856387126
0.3736;2.14887769585
0.374;2.14919163362
0.3744;2.14950567189
0.3748;2.14981979799
0.3752;2.15013399926
0.3756;2.15044826306
0.376;2.15076257675
0.3764;2.15107692773
0.3768;2.15139130339
0.3772;2.15170569116
0.3776;2.15202007848
0.378;2.15233445281
0.3784;2.15264880163
0.3788;2.15296123956
0.3792;2.15327269334
0.3796;2.15358408343
0.38;2.1538953974
0.3804;2.15420662283
0.3808;2.15451774734
0.3812;2.15482875857
0.3816;2.15513964421
0.382;2.15545039193
0.3824;2.15576098946
0.3828;2.15607142456
0.3832;2.156381685
0.3836;2.15669175861
0.384;2.15700163321
0.3844;2.15731129668
0.3848;2.15762073692
0.3852;2.15792994188
0.3856;2.15823889952
0.386;2.15854759785
0.3864;2.15885602491
0.3868;2.15916416878
0.3872;2.15947201756
0.3876;2.1597795594
0.388;2.16008678249
0.3884;2.16039367507
0.3888;2.16070022538
0.3892;2.16100642174
0.3896;2.16131225248
0.39;2.161617706
0.3904;2.16192277073
0.3908;2.16222743513
0.3912;2.16253168771
0.3916;2.16283551704
0.392;2.16313810034
0.3924;2.16343846056
0.3928;2.16373836279
0.3932;2.16403779579
0.3936;2.16433674833
0.394;2.16463520926
0.3944;2.16493316746
0.3948;2.16523061187
0.3952;2.16552753147
0.3956;2.1658239153
0.396;2.16611975245
0.3964;2.16641503206
0.3968;2.16670974332
0.3972;2.16700387548
0.3976;2.16729741783
0.398;2.16759035973
0.3984;2.16788269059
0.3988;2.16817439988
0.3992;2.16846547711
0.3996;2.16875591187
0.4;2.16904569379
0.4004;2.16933481257
0.4008;2.16962325795
0.4012;2.16991101976
0.4016;2.17019808786
0.402;2.17048445219
0.4024;2.17077010275
0.4028;2.17105502959
0.4032;2.17133922282
0.4036;2.17162267264
0.404;2.17190536929
0.4044;2.17218730307
0.4048;2.17246846437
0.4052;2.17274884361
0.4056;2.17302805228
0.406;2.17330445709
0.4064;2.173580051
0.4068;2.17385482472
0.4072;2.17412876903
0.4076;2.17440187477
0.408;2.17467413286
0.4084;2.17494553428
0.4088;2.17521607009
0.4092;2.17548573141
0.4096;2.17575450944
0.41;2.17602239544
0.4104;2.17628938077
0.4108;2.17655545682
0.4112;2.17682061509
0.4116;2.17708484714
0.412;2.1773481446
0.4124;2.17761049919
0.4128;2.17787190267
0.4132;2.17813234692
0.4136;2.17839182388
0.414;2.17865032554
0.4144;2.178907844
0.4148;2.17916437144
0.4152;2.17941990008
0.4156;2.17967442227
0.416;2.17992793039
0.4164;2.18018041692
0.4168;2.18043187444
0.4172;2.18068229558
0.4176;2.18093167306
0.418;2.18117999967
0.4184;2.18142726832
0.4188;2.18167347195
0.4192;2.18191860362
0.4196;2.18216223067
0.42;2.18240301208
0.4204;2.18264270071
0.4208;2.18288128994
0.4212;2.18311877324
0.4216;2.18335514417
0.422;2.18359039635
0.4224;2.18382452351
0.4228;2.18405751944
0.4232;2.18428937806
0.4236;2.18452009332
0.424;2.1847496593
0.4244;2.18497807014
0.4248;2.18520532009
0.4252;2.18543140346
0.4256;2.18565631468
0.426;2.18588004823
0.4264;2.18610259871
0.4268;2.1863239608
0.4272;2.18654412927
0.4276;2.18676309896
0.428;2.18698086482
0.4284;2.18719742189
0.4288;2.18741276529
0.4292;2.18762689023
0.4296;2.18783979203
0.43;2.18805146607
0.4304;2.18826190784
0.4308;2.18847111291
0.4312;2.18867907697
0.4316;2.18888579576
0.432;2.18909126514
0.4324;2.18929548105
0.4328;2.18949843953
0.4332;2.18970013671
0.4336;2.18990056881
0.434;2.19009891068
0.4344;2.19029480245
0.4348;2.19048941803
0.4352;2.19068275401
0.4356;2.19087480709
0.436;2.19106557404
0.4364;2.19125505175
0.4368;2.19144323718
0.4372;2.1916301274
0.4376;2.19181571957
0.438;2.19200001095
0.4384;2.19218299888
0.4388;2.19236468081
0.4392;2.19254505426
0.4396;2.19272411688
0.44;2.1929018664
0.4404;2.19307830062
0.4408;2.19325341747
0.4412;2.19342721497
0.4416;2.19359969121
0.442;2.1937708444
0.4424;2.19394067284
0.4428;2.19410917492
0.4432;2.19427634913
0.4436;2.19444219404
0.444;2.19460670835
0.4444;2.19476989081
0.4448;2.19493174031
0.4452;2.19509225581
0.4456;2.19525143637
0.446;2.19540928114
0.4464;2.19556578937
0.4468;2.19572096042
0.4472;2.19587479372
0.4476;2.19602728881
0.448;2.19617844533
0.4484;2.196328263
0.4488;2.19647528842
0.4492;2.19662060655
0.4496;2.19676458537
0.45;2.19690722499
0.4504;2.19704852563
0.4508;2.19718848758
0.4512;2.19732711124
0.4516;2.19746439711
0.452;2.19760034576
0.4524;2.1977349579
0.4528;2.19786823428
0.4532;2.19800017578
0.4536;2.19813078337
0.454;2.1982600581
0.4544;2.19838800114
0.4548;2.19851461372
0.4552;2.1986398972
0.4556;2.19876385299
0.456;2.19888648265
0.4564;2.19900778777
0.4568;2.19912777009
0.4572;2.19924643141
0.4576;2.19936377362
0.458;2.19947979873
0.4584;2.19959450883
0.4588;2.19970790608
0.4592;2.19981999276
0.4596;2.19993077123
0.46;2.20004024396
0.4604;2.20014841347
0.4608;2.20025528242
0.4612;2.20036085352
0.4616;2.2004651296
0.462;2.20056811357
0.4624;2.20066980843
0.4628;2.20077021726
0.4632;2.20086934325
0.4636;2.20096661771
0.464;2.20106153601
0.4644;2.20115518143
0.4648;2.20124755748
0.4652;2.20133866781
0.4656;2.20142851613
0.466;2.20151710624
0.4664;2.20160444203
0.4668;2.20169052748
0.4672;2.20177536666
0.4676;2.20185896372
0.468;2.20194132289
0.4684;2.20202244849
0.4688;2.20210234495
0.4692;2.20218101676
0.4696;2.20225846848
0.47;2.2023347048
0.4704;2.20240973045
0.4708;2.20248355026
0.4712;2.20255616917
