x,YH2,YO2,YN2,Tadiabatic,pressure,YH2equ,YO2equ,YN2equ,YH2Oequ,YHequ,YOequ,YOHequ,YHO2equ,YH2O2equ
0.0040902304352620055,0.012376307643064617,0.18106991562547092,0.8065537767314644,1485.4231114606491,101325.00000001391,7.25243175854372e-08,0.0828274956809196,0.8065537767314485,0.11056727062666709,5.434285395962145e-10,5.182838533598852e-07,5.073338476171538e-05,1.2201612907987602e-07,1.0208474688842047e-08
0.004114870377643102,0.010659046301490272,0.18826282262471225,0.8010781310737974,1349.1757645813284,101325.00000000175,7.195224496198743e-09,0.10366617943213106,0.8010781310737934,0.09524221977321146,2.7178505704460316e-11,7.229386826158315e-08,1.3341020434055679e-05,4.513788875725722e-08,4.046270035261902e-09
0.004139510320024198,0.009129739267553987,0.19466846572752888,0.7962017950049172,1221.7052247942663,101325.00000000035,5.553223742128337e-10,0.12221337840478087,0.7962017950049171,0.08158192448114124,9.376300040463704e-13,7.384909581049145e-09,2.879072966066354e-06,1.3718312159231612e-08,1.3767130771024973e-09
0.004164150262405295,0.007781860604503599,0.200314179419945,0.7919039599755514,1104.1979386855326,101325.00000000087,3.266205193478674e-11,0.13855699870887447,0.7919039599755529,0.06953852808100085,2.1864968485862924e-14,5.515505663267645e-10,5.08788614653003e-07,3.4569823021677237e-09,4.0474026934881023e-10
0.004188790204786391,0.006604698127060538,0.20524483267478502,0.7881504691981545,997.2938233909299,101324.99999999946,1.45025234542857e-12,0.1528298344902901,0.7881504691981545,0.05901962183644638,3.4160243783278026e-16,3.013194968403154e-11,7.36137000487562e-08,7.265398765792157e-10,1.0328660112852576e-10
0.004213430147167488,0.005584810309842231,0.2095167265568106,0.7848984631333471,901.0968733800287,101324.99999999972,4.855395363520935e-14,0.1651956012347673,0.7848984631333457,0.04990592673627194,3.577578354351406e-18,1.2095026818580583e-12,8.743294552259271e-09,1.280742281761025e-10,2.2988318367007363e-11
0.004238070089548584,0.004707282807454576,0.2131923311728001,0.7821003860197453,815.2246826821183,101325.00000036856,1.2293598972054773e-15,0.17583527835538285,0.7821003860193863,0.04206433474558881,2.5248640324370133e-20,3.590493138261805e-14,8.560802716527295e-10,1.904175071412317e-11,4.483026404807036e-12
0.0042627100319296805,0.003956732199498754,0.21633608139331162,0.7797071864071896,739.2741525033248,101325.0000001462,2.4051128460255855e-17,0.18493540751913284,0.7797071864070094,0.03535740600046657,1.2379603977227153e-22,8.076498575557545e-16,7.01929203179127e-11,2.4224744766404607e-12,7.74861833161962e-13
0.004287349974310777,0.0033180514575105857,0.2190112543958761,0.7776706941466134,672.7524705788414,101325.00000001445,3.7883494974729565e-19,0.1926791585258926,0.7776706941465913,0.02965014732216777,4.467369526363981e-25,1.4383851225879036e-17,4.9574091092813246e-12,2.701976603648458e-13,1.2099662651768362e-13
0.004311989916691873,0.0027769212878880115,0.22127782785813693,0.775945250853975,615.0215168540012,101325.00000000265,5.087206502984602e-21,0.19924014745870008,0.7759452508539703,0.02481460168697153,1.2856054637801196e-27,2.1540623532282826e-19,3.1342457416454294e-13,2.7298053883544975e-14,1.751057943976196e-14
